"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Desminado militar en operaciones";"CAUCA";19;"SUÁREZ";19780;2014;10;"Incidente";"Sin informacion";"Rural";3.061944444;-76.76444444;"Vereda La Esperanza";"POINT (-76.76444444 3.061944444)";"2014-10-01";41913
"Desminado militar en operaciones";"META";50;"URIBE";50370;2016;7;"Incidente";"Sin informacion";"Rural";2.838888889;-74.27166667;"ESPELDA";"POINT (-74.27166667 2.838888889)";"2016-07-01";42552
"Desminado militar en operaciones";"META";50;"EL DORADO";50270;2008;11;"Incidente";"Sin informacion";"Rural";3.693056;-73.879444;"Vereda Pedro Bajo";"POINT (-73.879444 3.693056)";"2008-11-01";39753
"Desminado militar en operaciones";"META";50;"PUERTO RICO";50590;2014;3;"Incidente";"Sin informacion";"Rural";2.84916666;-72.87388889;"Ag. El Bajon De Lanchas";"POINT (-72.87388889 2.84916666)";"2014-03-01";41699
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2013;7;"Incidente";"Sin informacion";"Rural";0.3591666667;-76.5075;"Nuevo Porvenir";"POINT (-76.5075 0.3591666667)";"2013-07-01";41456
"Incautaciones";"CUNDINAMARCA";25;"GUACHETÁ";25317;1997;5;"Incidente";"Sin informacion";"Rural";5.384794;-73.685637;"";"POINT (-73.685637 5.384794)";"1997-05-01";35551
"Sospecha de campo minado";"CASANARE";85;"AGUAZUL";85010;2006;4;"Incidente";"Sin informacion";"Rural";5.168712;-72.552642;"";"POINT (-72.552642 5.168712)";"2006-04-01";38808
"Desminado militar en operaciones";"ANTIOQUIA";5;"REMEDIOS";5604;2006;6;"Incidente";"Sin informacion";"Rural";7.028009;-74.693451;"";"POINT (-74.693451 7.028009)";"2006-06-01";38869
"Sospecha de campo minado";"ANTIOQUIA";5;"COCORNÁ";5197;2016;10;"Incidente";"Sin informacion";"Rural";6.01282;-75.14294;"SCM_BIDES_2015_4666";"POINT (-75.14294 6.01282)";"2016-10-01";42644
"Desminado militar en operaciones";"ANTIOQUIA";5;"ANORÍ";5040;2011;1;"Incidente";"Sin informacion";"Rural";7.180556;-75.05;"Las Cruces";"POINT (-75.05 7.180556)";"2011-01-01";40544
"Desminado militar en operaciones";"META";50;"PUERTO RICO";50590;2016;2;"Incidente";"Sin informacion";"Rural";2.8525;-73.345;"CAÑO BLANCO";"POINT (-73.345 2.8525)";"2016-02-01";42401
